Run ID,Fuel Use: Natural Gas: Total (MBtu),End Use: Natural Gas: Heating (MBtu),End Use: Natural Gas: Hot Water (MBtu),End Use: Natural Gas: Range/Oven (MBtu),Load: Heating: Delivered (MBtu),Load: Hot Water: Delivered (MBtu),Load: Hot Water: Tank Losses (MBtu)
11467,61.988,51.52,8.148,2.319,48.453,2.653,3.66
4961,85.372,67.651,13.711,0.0,63.771,8.787,2.019
1279,41.263,28.045,13.219,0.0,23.127,6.888,3.353
9828,135.563,123.422,9.358,2.783,74.035,3.79,3.452
10919,155.478,145.75,6.945,2.783,87.427,3.407,2.066
7348,56.568,44.417,12.15,0.0,41.279,5.605,3.808
2408,77.178,54.638,12.301,2.776,44.618,5.544,3.986
7946,56.627,41.461,12.39,2.776,38.827,5.578,4.021
8132,27.471,17.205,8.134,2.132,16.284,4.344,2.066
10317,49.524,34.045,12.702,2.776,26.111,5.712,4.128
5249,85.656,59.597,17.965,3.316,56.294,10.169,3.676
12024,17.087,3.434,13.652,0.0,2.778,6.811,3.765
12818,68.137,44.893,20.089,0.0,36.879,11.748,3.814
5847,105.424,88.766,13.425,3.232,83.006,6.811,3.59
4995,74.477,50.719,19.332,4.426,47.535,13.012,2.216
6063,14.243,2.573,8.826,2.845,2.077,3.235,3.602
404,12.169,6.797,5.373,0.0,6.408,0.0,4.163
1246,85.948,75.643,7.53,2.776,61.478,5.678,0.0
4506,131.415,118.661,12.754,0.0,80.386,6.125,3.746
1848,17.408,12.025,5.383,0.0,11.381,0.0,4.172
636,38.948,28.002,8.575,2.371,21.554,3.009,3.635
4162,82.148,57.531,24.617,0.0,45.052,15.442,3.607
252,6.947,0.073,4.742,2.132,0.067,3.576,0.0
3347,121.021,106.775,11.47,2.776,72.586,5.128,3.759
6635,96.51,80.959,15.55,0.0,75.974,8.103,3.882
3175,90.203,79.411,10.792,0.0,74.574,4.532,3.829
6407,84.971,64.414,16.868,3.688,60.061,9.354,3.699
4350,15.519,6.74,8.779,0.0,5.336,3.211,3.591
2261,37.805,26.297,9.376,2.132,17.499,3.533,3.731
7713,9.802,4.347,5.455,0.0,4.062,0.0,4.227
8569,120.963,101.784,16.229,2.951,82.302,9.003,3.569
2053,94.799,84.351,8.552,1.897,68.99,2.768,3.857
7521,31.485,14.716,16.769,0.0,13.88,9.093,3.897
5276,110.045,60.473,18.269,3.688,49.449,10.225,3.911
10328,37.515,25.337,9.395,2.783,23.765,3.371,3.908
5612,134.512,124.46,10.052,0.0,100.454,5.607,2.311
5420,103.788,83.654,12.85,3.232,68.987,7.919,2.203
2259,19.36,13.007,6.353,0.0,11.58,2.728,2.279
5840,63.361,50.785,11.074,0.0,39.022,6.457,2.272
4992,75.804,67.143,8.661,0.0,55.149,2.875,3.835
890,146.784,133.539,13.246,0.0,103.486,6.197,4.054
2857,63.671,28.467,13.956,0.0,22.946,6.857,3.955
10122,60.781,44.055,14.14,2.586,36.245,6.991,3.963
1884,174.335,145.689,13.324,3.232,110.386,8.386,2.115
6867,37.859,27.006,9.473,0.0,20.999,3.838,3.501
11004,22.22,8.789,13.432,0.0,8.176,6.693,3.713
12681,32.284,23.29,8.994,0.0,17.097,3.007,3.961
5088,120.022,98.305,21.717,0.0,80.836,13.025,3.779
13105,32.189,19.752,12.437,0.0,15.908,5.883,3.752
4368,54.658,42.759,9.767,2.132,35.168,3.853,3.713
864,2.474,2.474,0.0,0.0,2.279,0.0,0.0
3971,44.961,33.068,7.496,2.776,31.011,5.653,0.0
10921,55.099,40.843,11.48,2.776,38.657,5.045,3.849
2430,26.229,15.826,7.738,2.665,12.851,4.035,2.064
3186,16.461,7.943,8.519,0.0,6.054,2.533,4.067
7526,26.671,11.79,10.578,0.0,8.82,4.45,3.745
5271,93.435,80.572,12.863,0.0,66.141,6.186,3.768
12820,29.636,6.692,22.944,0.0,6.193,13.929,3.845
5043,50.66,38.619,12.041,0.0,31.536,5.396,3.932
10579,101.783,85.077,13.017,3.688,79.913,9.816,0.0
6400,56.791,44.804,11.986,0.0,36.579,5.536,3.75
5285,164.936,145.925,19.012,0.0,118.289,11.344,3.368
4357,157.376,143.787,13.589,0.0,118.605,6.878,3.637
1417,119.934,104.256,13.075,2.603,81.628,6.657,3.472
4959,120.935,103.189,11.88,2.776,84.778,5.191,4.003
2292,12.606,7.268,5.338,0.0,5.87,0.0,4.136
4501,66.285,52.987,10.523,2.776,50.151,6.138,2.156
6256,65.077,44.876,20.201,0.0,34.757,13.874,2.037
7384,136.036,120.379,12.881,2.776,111.762,6.163,3.805
6858,64.781,32.888,26.919,4.974,27.128,16.924,3.929
3516,76.413,48.173,17.471,3.688,38.479,9.844,3.691
6064,13.261,6.731,6.53,0.0,5.313,4.924,0.0
9810,101.343,86.529,12.228,2.586,70.888,5.804,3.669
11209,140.64,102.337,15.549,0.0,83.951,8.477,3.554
4733,82.852,71.553,11.3,0.0,67.497,4.976,3.778
403,94.839,73.089,17.846,3.904,59.778,10.132,3.693
8103,28.187,13.663,11.859,2.665,11.175,5.071,4.117
7977,51.675,36.184,12.905,2.586,29.481,6.342,3.656
10326,47.839,32.698,11.942,3.198,26.921,5.531,3.721
6099,107.081,87.61,10.283,2.221,82.652,4.208,3.75
8331,20.969,10.938,10.031,0.0,9.024,3.603,4.168
7379,92.044,49.766,10.069,2.221,33.83,4.353,3.448
10114,82.44,69.468,9.641,3.331,57.302,7.27,0.0
12227,52.624,22.901,9.528,2.132,21.363,3.99,3.392
4198,184.463,162.598,14.825,3.331,132.636,7.508,3.919
9687,63.669,44.584,15.854,3.232,36.308,8.293,3.975
10570,40.628,30.79,7.941,1.897,25.331,2.383,3.768
2861,27.851,13.456,12.028,2.367,10.796,5.627,3.691
11690,19.055,3.956,15.099,0.0,3.224,7.742,3.954
5278,79.899,70.871,6.657,2.371,67.015,3.186,2.062
12829,33.447,23.018,10.428,0.0,18.629,6.257,1.963
9673,41.362,34.092,5.415,1.856,32.272,2.187,2.081
3349,100.768,91.188,9.581,0.0,75.207,3.524,3.898
11456,91.177,78.068,13.11,0.0,64.148,6.275,3.829
9441,14.606,0.483,14.123,0.0,0.386,7.123,3.818
8593,31.791,16.046,15.744,0.0,14.763,8.283,3.901
2895,52.697,40.286,10.279,2.132,38.079,4.249,3.714
11664,45.548,31.921,13.627,0.0,30.213,7.179,3.378
7983,160.694,141.189,16.555,2.951,113.413,8.826,3.985
1248,92.019,79.599,9.755,2.665,65.647,4.404,3.154
11032,276.202,248.95,21.238,0.0,204.023,12.999,3.453
4395,114.029,98.913,15.116,0.0,81.094,11.399,0.0
5247,155.126,140.126,12.224,2.776,114.111,5.599,3.86
12816,54.561,33.658,17.229,0.0,31.226,11.411,2.168
2062,134.404,89.284,21.306,4.426,73.128,12.806,3.682
2250,122.152,111.025,7.796,3.331,90.669,5.879,0.0
3382,33.528,25.369,5.84,2.319,23.096,2.449,2.154
5075,113.376,96.039,13.051,2.586,78.361,6.284,3.826
10917,88.158,65.614,18.399,4.145,54.122,12.312,2.181
6294,53.131,37.551,12.804,2.776,34.8,6.096,3.824
5411,63.725,42.509,21.216,0.0,34.651,12.517,3.834
5623,17.592,12.255,5.337,0.0,9.551,0.0,4.135
1283,27.864,13.607,14.258,0.0,10.51,10.752,0.0
2406,64.476,54.714,6.987,2.776,51.783,5.269,0.0
7174,7.759,4.871,2.888,0.0,3.982,0.0,2.277
1879,35.092,26.122,8.971,0.0,22.035,3.319,3.631
4537,97.114,78.771,11.304,3.331,73.932,6.87,2.033
1045,130.956,121.111,9.845,0.0,99.889,3.526,4.101
3520,91.716,68.692,19.336,3.688,55.706,11.278,3.701
9826,75.724,55.695,20.029,0.0,52.565,11.549,3.949
3978,20.884,10.244,10.64,0.0,8.198,4.31,3.933
3376,127.32,114.831,9.713,2.776,90.395,5.596,2.054
4153,153.931,143.924,10.007,0.0,136.141,4.232,3.52
1841,75.74,59.939,15.801,0.0,48.782,10.294,2.159
11035,144.053,126.847,15.081,0.0,119.17,8.273,3.351
6258,114.835,107.584,5.395,1.856,88.302,2.138,2.103
9022,53.894,33.202,16.813,3.878,26.862,9.011,4.014
6856,104.698,90.259,11.664,2.776,85.25,5.634,3.401
2892,56.904,41.426,15.478,0.0,33.943,8.144,3.847
4359,34.602,23.261,11.341,0.0,18.856,4.861,3.925
13134,148.898,135.391,10.732,2.776,109.956,4.689,3.624
10583,41.466,27.261,11.54,2.665,22.488,5.058,3.872
11451,60.798,37.955,18.964,3.878,31.007,10.934,3.757
3188,39.009,24.193,14.816,0.0,19.83,7.405,4.073
7528,58.38,43.897,11.707,2.776,41.081,5.035,4.035
9680,45.945,31.937,11.057,2.951,29.956,8.338,0.0
10577,150.609,139.32,11.289,0.0,114.394,4.918,3.818
12644,87.425,76.58,10.845,0.0,72.009,4.561,3.832
8336,21.677,10.002,11.675,0.0,8.042,5.251,3.794
8104,49.832,38.739,5.724,0.0,31.445,2.2,2.312
8938,32.876,22.259,8.488,0.0,20.624,3.052,3.524
10321,88.973,76.171,9.957,2.845,57.661,4.064,3.65
8799,111.027,95.378,12.874,2.776,89.391,6.22,3.742
6603,18.498,6.838,8.995,2.665,6.417,4.943,2.147
4154,51.581,35.823,12.982,2.776,33.65,6.131,3.926
5086,38.435,24.651,11.12,2.665,19.978,4.984,3.631
1614,103.276,89.142,8.268,2.776,84.436,6.235,0.0
6431,67.098,47.186,11.283,0.0,43.772,4.778,3.963
1270,147.91,134.067,11.623,2.221,108.296,4.846,4.158
3527,15.736,8.39,7.346,0.0,6.409,3.67,2.119
11238,73.591,63.001,10.59,0.0,51.395,4.334,3.87
3715,26.42,20.5,5.92,0.0,19.184,2.59,2.076
1042,60.391,47.34,6.467,2.371,39.045,2.807,2.29
5624,58.575,30.581,16.517,3.878,23.351,9.025,3.77
12449,19.886,9.635,7.407,2.845,7.426,3.8,2.038
1284,25.324,14.673,8.28,2.371,11.293,2.811,3.604
2401,34.255,20.905,10.684,2.665,17.245,5.17,3.108
7173,82.542,70.377,9.944,2.221,56.925,3.797,3.907
2633,20.579,6.686,11.227,2.665,5.311,4.874,3.824
7341,28.871,18.943,9.927,0.0,14.377,4.432,3.259
2257,167.073,151.034,13.088,2.951,122.693,8.124,2.162
4392,10.282,4.611,5.671,0.0,3.327,0.0,4.395
5240,77.71,66.946,8.445,2.319,62.847,2.867,3.676
12811,52.282,40.079,8.233,1.897,30.701,2.435,3.944
2065,10.623,4.625,5.998,0.0,3.436,0.0,4.648
6465,25.123,8.225,14.059,2.838,7.586,6.96,3.931
11608,29.048,17.86,9.057,2.131,14.731,3.359,3.658
3117,107.213,91.103,12.78,3.331,61.656,5.85,4.04
1640,37.943,29.763,8.18,0.0,24.38,2.872,3.465
4332,17.303,5.784,11.519,0.0,5.396,5.053,3.871
230,32.56,21.691,10.868,0.0,17.596,4.558,3.853
4100,63.819,48.234,12.999,2.586,44.915,6.297,3.763
7785,38.692,31.18,5.615,1.897,25.453,2.457,1.969
3325,40.764,29.182,9.215,2.367,24.024,5.152,2.11
1016,26.505,21.084,5.421,0.0,19.708,0.0,4.2
654,62.293,43.238,9.129,2.371,35.478,3.146,3.927
6233,7.581,0.528,5.157,1.897,0.389,2.05,2.015
2693,71.935,28.957,15.364,0.0,26.684,8.154,3.747
3573,76.254,65.5,10.754,0.0,51.15,6.191,2.28
9049,17.721,5.955,9.163,2.603,4.837,6.91,0.0
1224,191.724,170.836,15.53,3.232,161.131,8.227,3.791
466,63.551,39.32,16.507,3.551,30.527,8.917,3.871
5684,173.855,153.539,20.316,0.0,104.38,12.507,3.214
4756,17.265,3.745,10.855,2.665,3.547,4.998,3.412
5442,127.411,99.731,20.101,4.426,79.829,11.748,3.806
4590,59.986,40.019,14.141,2.586,30.099,6.848,4.107
10178,24.236,9.712,12.204,0.0,7.374,5.696,3.758
11896,24.537,15.786,8.751,0.0,14.772,2.887,3.893
7127,144.224,100.363,15.239,3.331,81.675,8.008,3.798
11298,130.083,119.196,8.567,2.319,97.875,2.885,3.745
3587,33.676,21.442,12.234,0.0,14.409,5.48,3.998
12845,44.509,25.662,12.981,2.776,21.168,6.139,3.917
12079,155.341,139.105,13.145,0.0,114.746,6.283,3.89
5214,90.437,75.256,12.405,2.776,71.226,5.631,3.98
5026,7.631,0.541,7.09,0.0,0.515,3.501,2.088
8739,59.384,36.434,19.071,3.878,30.059,10.918,3.84
11253,223.107,208.401,11.931,2.776,197.255,5.664,3.569
10381,122.025,107.872,11.785,2.367,86.274,5.769,3.362
6802,148.482,128.704,13.806,3.331,77.203,6.905,3.789
11061,69.38,53.585,13.024,2.771,43.917,6.266,3.823
9244,130.341,92.593,27.293,4.426,76.018,17.362,3.781
5489,110.444,95.81,12.049,2.586,64.577,5.466,3.858
9620,34.529,24.929,7.229,2.371,20.192,3.56,2.138
12280,55.952,48.15,7.802,0.0,44.887,2.196,3.842
7588,56.179,41.864,14.315,0.0,34.288,7.371,3.719
9412,37.882,23.894,13.988,0.0,19.5,6.829,3.996
3128,61.524,40.044,17.792,3.688,33.03,10.197,3.571
5825,153.639,126.805,18.74,3.316,98.52,10.715,3.728
